objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
1448,http://hdl.handle.net/10459.2/2293,"Programa de concert. Buenos Aires (Teatro Odeón), 24 agost 1920.",,1920-08-24,"Programa de concert. Buenos Aires (Teatro Odeón), 24 agost 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1449,http://hdl.handle.net/10459.2/2294,"Programa de concert. Buenos Aires (Teatro Odeón), 1 setembre 1920.",,1920-09-01,"Programa de concert. Buenos Aires (Teatro Odeón), 1 setembre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1450,http://hdl.handle.net/10459.2/2295,"Programa de concert. Buenos Aires (Teatro Odeón), 8 setembre 1920.",,1920-09-08,"Programa de concert. Buenos Aires (Teatro Odeón), 8 setembre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1451,http://hdl.handle.net/10459.2/2296,"Programa de concert. Buenos Aires (Teatro Odeón), 10 setembre 1920.",,1920-09-10,"Programa de concert. Buenos Aires (Teatro Odeón), 10 setembre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1452,http://hdl.handle.net/10459.2/2297,"Programa de concert. Buenos Aires (Teatro Odeón), 20 setembre 1920.",,1920-09-20,"Programa de concert. Buenos Aires (Teatro Odeón), 20 setembre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1453,http://hdl.handle.net/10459.2/2298,"Programa de concert. Buenos Aires (Teatro Odeón), 24 setembre 1920.",,1920-09-24,"Programa de concert. Buenos Aires (Teatro Odeón), 24 setembre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1---,http://hdl.handle.net/10459.2/2299,"Programa de concert. Buenos Aires (Universidad de Buenos Aires), 29 setembre 1920.",,1920-09-29,"Programa de concert. Buenos Aires (Universidad de Buenos Aires), 29 setembre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1456,http://hdl.handle.net/10459.2/2300,"Programa de concert. Buenos Aires (Salón La Argentina), 4 octubre 1920",,1920-10-04,"Programa de concert. Buenos Aires (Salón La Argentina), 4 octubre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1454,http://hdl.handle.net/10459.2/2301,"Programa de concert. Buenos Aires (Teatro Odeón), 8 octubre 1920.",,1920-10-08,"Programa de concert. Buenos Aires (Teatro Odeón), 8 octubre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1455,noimage.png,"Programa conjunt cicle de concerts (7). Buenos Aires (Teatro Odeón), setembre-octubre 1920.",,1920,"Programa conjunt cicle de concerts (7). Buenos Aires (Teatro Odeón), setembre-octubre 1920.",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
2---,http://hdl.handle.net/10459.2/2302,"Programa de concert. Buenos Aires (Teatro Colón), 10 octubre 1920",,1920-10-10,"Programa de concert. Buenos Aires (Teatro Colón), 10 octubre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1457,http://hdl.handle.net/10459.2/2303,"Programa de concert. Còrdova [Argentina] (Teatro Rivera Indarte), 17 octubre 1920",,1920-10-17,"Programa de concert. Còrdova [Argentina] (Teatro Rivera Indarte), 17 octubre 1920",,"Córdoba, Argentina",-31.416666666667,-64.183333333333,Fons Especials Universitat de Lleida,,,application/pdf,es,,
3---,http://hdl.handle.net/10459.2/2304,"Programa de concert. Buenos Aires (Teatro Odeón), 26 octubre 1920",,1920-10-26,"Programa de concert. Buenos Aires (Teatro Odeón), 26 octubre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
4---,http://hdl.handle.net/10459.2/2305,"Programa de concert. Buenos Aires (Teatro Odeón), 28 octubre 1920",,1920-10-28,"Programa de concert. Buenos Aires (Teatro Odeón), 28 octubre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
5---,http://hdl.handle.net/10459.2/2306,"Programa de concert. Buenos Aires (Teatro Odeón), 9 novembre 1920",,1920-11-09,"Programa de concert. Buenos Aires (Teatro Odeón), 9 novembre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
6---,http://hdl.handle.net/10459.2/2307,"Programa de concert. Buenos Aires (Teatro Odeón), 17 novembre 1920",,1920-11-17,"Programa de concert. Buenos Aires (Teatro Odeón), 17 novembre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1458,http://hdl.handle.net/10459.2/2308,"Programa de concert. Buenos Aires (Teatre Odeón), 27 novembre 1920",,1920-11-27,"Programa de concert. Buenos Aires (Teatre Odeón), 27 novembre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
7---,http://hdl.handle.net/10459.2/2309,"Programa de concert. Buenos Aires (Teatro San Martín), 29 novembre 1920",,1920-11-29,"Programa de concert. Buenos Aires (Teatro San Martín), 29 novembre 1920",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1459,http://hdl.handle.net/10459.2/2311,"Programa de concert. Concert a alta mar (Cambra de primera, vapor correu Reina Victoria-Eugenia), 11 desembre 1920",,1920-12-11,"Programa de concert. Concert a alta mar (Cambra de primera, vapor correu Reina Victoria-Eugenia), 11 desembre 1920",,Alta mar,-37.50482125594978,-20.81321767262759,Fons Especials Universitat de Lleida,,,application/pdf,es,,
8---,http://hdl.handle.net/10459.2/2312,"Programa de concert. Concert a alta mar (Cambra de primera, vapor correu Reina Victoria-Eugenia), 13 desembre 1920",,1920-12-13,"Programa de concert. Concert a alta mar (Cambra de primera, vapor correu Reina Victoria-Eugenia), 13 desembre 1920",,Alta mar,-37.50482125594978,-20.81321767262759,Fons Especials Universitat de Lleida,,,application/pdf,es,,
1698,noimage.png,"Programa de concert. Buenos Aires (Teatro Odeón), [1920]",,[1920],"Programa de concert. Buenos Aires (Teatro Odeón), [1920]",,Buenos Aires,-34.599722222222,-58.381944444444,Fons Especials Universitat de Lleida,,,application/pdf,es,,
